Annotator,Question,Answer,Status (Chia-Hsiang),Comment,Status (Cheryl),Comment,Status (Aarush),Comment,URL,Thumbnail URL,Supporting sentences,Post ID,Tag,Modality,Javascript URL,Javascript code
Cheryl,"Did the water extent of Lake Sambhar, India, decrease between 2018 and 2019?",,double reviewed,,,,double reviewed,,https://earthobservatory.nasa.gov/images/145180/lake-sambhar,,The number of flamingos and other birds has been dropping because of inconsistent monsoons and reduction of habitat. The lake has been included on a list of the planet’s large salt lakes that are in decline due to water diversions and climate change.,,,Landsat 8,,
Cheryl,Did the water in Lake Bosumtwi appear more green in December 2024 than in December 2015?,,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/154739/an-explosive-beginning-for-lake-bosumtwi,,The greener water in 2024 is likely due to the lake having a higher concentration of some types of phytoplankton,,,Landsat 8,,
Aarush,"Did Trent River experience flooding between September 15 and September 20, 2017?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/92786/a-broad-view-of-flooding-in-the-carolinas,,"The Trent River reached an all-time high of 29 feet (8.8 meters) on September 17, more than twice the flood stage (the height at which the river will overflow and cause damage).",,,Landsat 8,,
Cheryl,"Did tropospheric nitrogen dioxide (NO2) concentrations over New York City appear higher at 2:00-3:00 pm than at 5:00-6:00 pm local time on August 9, 2023?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154320/celebrating-a-long-career-with-roots-on-long-island,,"The sequence of images above shows a plume of nitrogen dioxide (NO2) emerging from New York City around noon local time on August 9, 2023",,,TEMPO,https://code.earthengine.google.com/0dc734a1a2d20e30a51a05dbc4fc10e8,
Cheryl,"Did vegetation cover increase in Warburton Creek between June 20, 2025 and September 15, 2025?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/154803/cooper-creek-replenishes-lake-eyre,,"Note how Warburton Creek appears blue in mid-June (left), indicating water was flowing, and then green in mid-September (right), suggesting the river flow had waned and vegetation had emerged in the riverbed",,,MODIS-Terra,,
Cheryl,"Did vegetation greenness decrease in farmland southeast of Calgary, Alberta, between August 19, 2025, and August 24, 2025?",,verified,,,,double reviewed,,https://earthobservatory.nasa.gov/images/154724/hail-scars-alberta-farmland,,"The pair of images above highlights the long swath of damage visible in satellite imagery in the aftermath of the storm. The first image (left) shows a mixture of farmland, grasslands, and forests southeast of Calgary on August 19, 2025; the second image (right) shows the same area on August 24, after the storm had battered the landscape. The images were acquired with the MODIS (Moderate Resolution Imaging Spectroradiometer) on NASA’s Terra and Aqua satellites, respectively.",,,"MODIS-Terra
MODIS-Aqua",https://code.earthengine.google.com/a46511a40402a944902526172e8b1367,"/**
 * Function to mask clouds using the Sentinel-2 QA band
 * @param {ee.Image} image Sentinel-2 image
 * @return {ee.Image} cloud masked Sentinel-2 image
 */
function maskS2clouds(image) {
  var qa = image.select('QA60');

  // Bits 10 and 11 are clouds and cirrus, respectively.
  var cloudBitMask = 1 << 10;
  var cirrusBitMask = 1 << 11;

  // Both flags should be set to zero, indicating clear conditions.
  var mask = qa.bitwiseAnd(cloudBitMask).eq(0)
      .and(qa.bitwiseAnd(cirrusBitMask).eq(0));

  return image.updateMask(mask).divide(10000);
}

var visualization = {
  min: 0.0,
  max: 0.3,
  bands: ['B4', 'B3', 'B2'],
};

Map.setCenter(-111.760162, 50.710872, 10);


var dataset = ee.ImageCollection('COPERNICUS/S2_SR_HARMONIZED')
                  .filterDate('2025-08-25', '2025-08-26')
                  // Pre-filter to get less cloudy granules.
                  .filter(ee.Filter.lt('CLOUDY_PIXEL_PERCENTAGE',20))
                  .map(maskS2clouds);
Map.addLayer(dataset.mean(), visualization, 'after');

var dataset_b = ee.ImageCollection('COPERNICUS/S2_SR_HARMONIZED')
                  .filterDate('2025-08-14', '2025-08-22')
                  // Pre-filter to get less cloudy granules.
                  .filter(ee.Filter.lt('CLOUDY_PIXEL_PERCENTAGE',20))
                  .map(maskS2clouds);
Map.addLayer(dataset_b.mean(), visualization, 'before');
"
Aarush,"Did Washington D.C. experience an air temperature difference of at least 24 degrees Celcius between January 29 and February 5, 2019?",,verified,,double reviewed,Could split into two questions: 1) Did Washington DC experience.... 2) Did NY experience....,,,https://earthobservatory.nasa.gov/images/144516/wild-winter-temperature-swings,,Measurements reported by the National Weather Service show that the daily high temperature in Boston jumped 26°C (47°F) between January 29 and February 5. New York and Washington D.C. warmed warmed by about 27°C.,,,GEOS?,,
Cheryl,Did water extent in Alsek Lake decrease between 1984 and 2010?,No,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154764/alaskas-brand-new-island,,"This pair of images shows the extent of ice retreat and lake growth between 1984 and 2025. They were acquired in the summers of those years with the TM (Thematic Mapper) on Landsat 5 and the OLI-2 (Operational Land Imager-2) on Landsat 9, respectively.",,,"Landsat 5
Landsat 8
Landsat 9",,
Aarush,"Did Wilmington, North Carolina receive at least 90 inches of rainfall during the year of 2018?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/144417/soggy-2018-for-the-eastern-us,,"Wilmington, North Carolina, has received a whopping 99.98 inches so far this year.",,,News (GRACE),,
Chia-Hsiang,Does Eastern Canada have higher carbon monoxide concentration on June 5th 2023 than June 1st 2023?,,,,verified,,double reviewed,,https://www.nasa.gov/earth/new-nasa-study-tallies-carbon-emissions-from-massive-canadian-fires/,https://www.nasa.gov/wp-content/uploads/2024/08/e1-svs-co-animation-web-compress.mp4,1. Carbon monoxide from Canada wildfires curls thousands of miles across North America in this animation showing data from summer 2023. Lower concentrations are shown in purple; higher concentrations are in yellow. Red triangles indicate fire hotspots.,,,Sentinel 5P,,
Aarush,"Does the area around (43.244129, -79.198692) apprear greener than (43.263113, -79.069485) in Lake Ontario on February 4, 2021?",,verified,,,,,,https://earthobservatory.nasa.gov/images/147933/winter-along-the-niagara-river,,,,,Landsat 8,,
Cheryl,"Does the floodplain along Cooper Creek, downstream of Windorah, 10 km radius around (-27.667421, 141.780304), show higher vegetation greenness on April 22, 2025 than on April 6, 2025?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154233/floods-give-way-to-a-burst-of-desert-life,,"On April 6 (left), floodwaters filled the river channel downstream of Windorah, a town that saw some of its highest river levels on record in the preceding days. By April 22 (right), water levels had subsided somewhat, allowing vegetation to spring up from the moist ground.",,,"Landsat 9
Modis-Terra",,
Chia-Hsiang,"Does the forest fire burn over 0.8 million hectares of land in Quebec, Canada in 2023?",,,,verified,,verified,,https://earthobservatory.nasa.gov/images/151985/tracking-canadas-extreme-2023-fire-season,https://eoimages.gsfc.nasa.gov/images/imagerecords/151000/151985/canadafires_quebec_feds_2023204.mp4,"1. The animation above shows the largest Canadian fire in the FEDS database for 2023 as of September 19, 2023—a fire that had charred 1,224,938 hectares (4,730 square miles) in Quebec near the La Grande Reservoir 3. ",151985,,VIIRS,,
Chia-Hsiang,"Does the water 100 km south of Bear Island, Norway show more milky turquoise-blue color than that 250 km south of Bear Island on August 5, 2025?",,,,verified,,verified,,https://earthobservatory.nasa.gov/images/154651/bloom-time-in-the-barents-sea,,"The bloom is visible in this image, captured on August 5, 2025, by the MODIS (Moderate Resolution Imaging Spectroradiometer) on NASA’s Aqua satellite. The bloom swirled around Bear Island, an outer island of Norway’s Svalbard archipelago. The island lies about midway between the archipelago’s largest island, Spitsbergen (north of this scene), and mainland Norway, visible at the bottom of the image.

The milky turquoise-blue color likely comes from coccolithophores, notably Gephyrocapsa huxleyi (previously called Emiliania huxleyi)",,,MODIS-Aqua,https://code.earthengine.google.com/0aa371ef25f5536e28689427b6f85a26 or https://code.earthengine.google.com/2925e82abd72940abc00b762600dc46d,"// =======================
// Bear Island (Bjørnøya) reference
// =======================
var bearIsland = ee.Geometry.Point([19.017, 74.517]); // lon, lat

// Offset ~km south using degrees (≈111.32 km per degree latitude)
function southPoint(origin, kmSouth) {
  var dLat = ee.Number(kmSouth).divide(111.32);
  var lat = ee.Number(origin.coordinates().get(1)).subtract(dLat);
  var lon = ee.Number(origin.coordinates().get(0));
  return ee.Geometry.Point([lon, lat]);
}
var pt100 = southPoint(bearIsland, 100);
var pt250 = southPoint(bearIsland, 250);

// 10 km radius buffers for stats/visual clarity
var bufKm = 10;
var area100 = pt100.buffer(bufKm * 1000);
var area250 = pt250.buffer(bufKm * 1000);

// =======================
// Date: 2025-08-05 (±1 day, median composite)
// =======================
var start = ee.Date('2025-08-04');
var end   = ee.Date('2025-08-06');

// =======================
// MODIS Aqua surface reflectance (C61)
// Dataset: MODIS/061/MYD09GA (Aqua)
// Bands used: b03 (~469 nm, ""blue""), b04 (~555 nm, ""green"")
// =======================
var coll = ee.ImageCollection('MODIS/061/MYD09GA')
  .filterDate(start, end)
  .filterBounds(bearIsland)
  .select(['sur_refl_b03','sur_refl_b04','state_1km']);

// --- QA cloud mask (state_1km bits) ---
// Bits 0-1: Cloud state (0=clear, 1=cloudy, 2=mixed, 3=not set)
// Bit 10: Cirrus detected
function maskClouds(img) {
  var qa = img.select('state_1km').toInt16();

  // Bits 0–1: cloud state (0=clear, 1=cloudy, 2=mixed, 3=not set)
  var cloudState = qa.bitwiseAnd(3);         // no shift needed for bits 0–1
  var isCloudy   = cloudState.neq(0);

  // Example extra mask: single-bit flag (shift then AND 1)
  var cirrus = qa.rightShift(10).bitwiseAnd(1).eq(1);

  var clear = isCloudy.not().and(cirrus.not());
  return img.updateMask(clear);
}

var sr = coll.map(maskClouds)
             .median()
             .select(['sur_refl_b03','sur_refl_b04'])
             .rename(['B03','B04'])
             .multiply(0.0001);  // scale factor per MYD09 docs

// =======================
// OC3-style chlorophyll-a proxy
// Classic OC3M: X = log10(max(Rrs443,Rrs488)/Rrs551) then 10^(a0+a1X+...)
// Here we approximate with surface reflectance ratio B03(∼469)/B04(∼555).
// Coeffs (NASA OC3M v6): a0=0.283, a1=-2.753, a2=1.457, a3=0.659, a4=-1.403
// =======================
var eps = 1e-6;
var ratio = sr.select('B03').add(eps).divide(sr.select('B04').add(eps));
var X = ratio.log10();
var a0 = 0.283, a1 = -2.753, a2 = 1.457, a3 = 0.659, a4 = -1.403;
var poly = ee.Image.constant(a0)
  .add(X.multiply(a1))
  .add(X.pow(2).multiply(a2))
  .add(X.pow(3).multiply(a3))
  .add(X.pow(4).multiply(a4));

// chlor_a in mg m^-3 (proxy)
var chlorA = ee.Image(10).pow(poly).rename('chlor_a_proxy');

// Optional sanity mask: keep reasonable ocean values
var chlorMask = chlorA.gt(0.02).and(chlorA.lt(50)); // 0.02–50 mg/m^3
chlorA = chlorA.updateMask(chlorMask);

// =======================
// Visualization (water-color palette)
// =======================
var chlVis = {
  min: 0.05,
  max: 15.0,
  palette: [
    '001146','00336e','005a8c','1e86b6','4bb3d1',
    '7ad3d4','a7e3c3','d4f0a1','f6f28f','f9cc74','f29c53','e35a3f','c22e3a'
  ]
};

// Map extent & layers
var bbox = area100.union(area250).buffer(30000);
Map.centerObject(bbox, 6);
Map.addLayer(chlorA.clip(bbox), chlVis, 'Chlorophyll-a (OC3 proxy) • Aqua MYD09GA • 2025-08-05', true);
Map.addLayer(area100, {color: 'cyan'},   '100 km S • 10 km buffer');
Map.addLayer(area250, {color: 'magenta'},'250 km S • 10 km buffer');
Map.addLayer(bearIsland, {color: 'yellow'}, 'Bear Island ref', false);

// =======================
// Statistics
// =======================
function meanChl(img, region, label){
  var stats = img.reduceRegion({
    reducer: ee.Reducer.mean().combine({reducer2: ee.Reducer.stdDev(), sharedInputs: true}),
    geometry: region,
    scale: 1000,    // MYD09GA resolution
    maxPixels: 1e12,
    bestEffort: true
  });
  print(label + ' mean chlor-a proxy (mg/m^3):', stats.get('chlor_a_proxy_mean'));
  print(label + ' stdDev chlor-a proxy (mg/m^3):', stats.get('chlor_a_proxy_stdDev'));
  return stats;
}

var s100 = meanChl(chlorA, area100, '100 km south');
var s250 = meanChl(chlorA, area250, '250 km south');

// Difference summary
var mean100 = ee.Number(s100.get('chlor_a_proxy_mean'));
var mean250 = ee.Number(s250.get('chlor_a_proxy_mean'));
var diff = mean250.subtract(mean100);
var pct  = diff.divide(mean100).multiply(100);
print('Δ chlor-a proxy (250 − 100) mg/m^3:', diff);
print('Percent difference (%):', pct);

// For quick QC:
print('Ratio (B03/B04) stats at 100 km S:', chlorA.addBands(ratio.rename('ratio')).reduceRegion({
  reducer: ee.Reducer.mean().combine({reducer2: ee.Reducer.minMax(), sharedInputs: true}),
  geometry: area100, scale: 1000, maxPixels: 1e12, bestEffort: true
}));
"
Aarush,"During the year of 2018, did Washington D.C. experience at least 50 inches of rainfall?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/144417/soggy-2018-for-the-eastern-us,,"Several major cities received exceptional rainfall in 2018. Washington, D.C., surpassed the previous annual rainfall record of 61.33 inches set in 1889, accumulating 64.22 inches by the date of this map",,,News (GRACE),,
Aarush,"From January to mid-May, did Jaén a few miles east of Córdoba recieve more than 3 inches of rain fall in 2023?",no,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/151366/spain-browned-by-drought,,"Similarly scant rain fell in Jaén, a few miles east of Córdoba: only 2 centimeters (0.8 inches) of the expected 12.5 centimeters (5 inches) of rain fell through mid-May (16 percent of normal).",,,News,,
Aarush,"In 2021, did the Antarctic ozone hole reach a size of 18 million square kilometers?",,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/149010/substantial-antarctic-ozone-hole-in-2021,,"This year, NASA satellite observations determined the ozone hole reached a maximum of 24.8 million square kilometers (9.6 million square miles)—roughly the size of North America—before beginning to shrink in mid-October.",,,"OMI-Aura
OMPS
TOMS",,
Aarush,"In 2023, was there over 160,000 hectares of fires burning in Quebec?",,verified,,verified,,,,https://earthobservatory.nasa.gov/images/151430/fires-burn-across-quebec,,"Fire season in Quebec usually starts in late May. In an average year, only 247 hectares (a square mile) of area would be burned by June 5, according to Quebec’s fire prevention agency (SOPFEU). But so far this year, 160,000 hectares (600 square miles) have burned.",,,MODIS-Aqua,,
Aarush,"In April 2023, did southern Spain experience temperatures over 90 degrees Fahrenheit?",,verified,,verified,,,,https://earthobservatory.nasa.gov/images/151366/spain-browned-by-drought,,"Unseasonable heat exacerbated the prolonged drought. On April 26, hot air from North Africa swept over southern Spain and pushed the temperature at the Córdoba airport to 38.8°C (101.8°F), the highest April temperature recorded in continental Spain.",,,MODIS-Terra,,
Aarush,"In areas across the northeastern Pacific Ocean, were sea surface temperatures cooler in August 2019 than the average for the same month from 1985-2012?",no,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/145602/marine-heat-wave-returns-to-the-northeast-pacific,,"From 2014-2016, a marine heat wave spread across the northeastern Pacific Ocean—an ocean weather event that researchers coined “the blob.” In the summer of 2019, an expanse of warm surface water returned to the region.

The unusual conditions are visible in the maps above and below, which shows sea surface temperature anomalies across the northeastern Pacific in August 2019. Red colors depict areas that were hotter than average for the same month from 1985-2012; blues were colder than average.",,,"VIIRS
MTSAT
Meteosat
POES
MODIS-Terra
MODIS-Aqua
GOES",,
Aarush,"In Janaury 2020, did the city of Mahajanga experience more than 12 inches of rainfall?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/146225/flood-waters-overwhelm-northern-madagascar,,"According to Accuweather, the town of Mahajanga reported 358 millimeters (14.09 inches) of rain from January 19-25, and 592 mm (23.29 inches) for the month of January.",,,News,,
Aarush,"In January 2021, did Nambia experience over 7 inches of rainfall?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/147924/abundant-rain-turns-namibia-green,,"January 2021 saw rainfall totals double to triple the norm in the northeastern, central, and southern parts of Namibia. According to a weather monitor in Windhoek, 228 millimeters (9 inches) of rain fell in January; the long-term average is 85 millimeters (3 inches).",,,News,,
Aarush,"In November 2021, did Seattle experience less than 20cm of rainfall?",no,verified,,verified,,,,https://earthobservatory.nasa.gov/images/149195/soggy-autumn-in-the-pacific-northwest,,"Just over 25 centimeters (10 inches) fell in November alone, raining on all but five days of the month",, ,News (GRACE),,
Aarush,"In parts of East Midlands, northeast England, and eastern Scotland, was there more rain during October 1, 2023, and January 4, 2024 as compared to their 1991-2020 average rainfalls for those months?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/152295/flooding-along-the-river-trent,,"Between October 1, 2023, and January 4, 2024, parts of the East Midlands, northeast England, and eastern Scotland received more than 150 percent of the 1991-2020 average rainfall for those months.",,,Landsat 9,,
Chia-Hsiang,"In September 2023, did Cabo Frio have a sea zone of a temperature graident over 5 degrees Celcius over less than 10 kilometers?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/152240/chilling-out-in-brazil,,"One model of Cabo Frio upwelling, developed by researchers in Germany and Brazil, indicates that the zone of cool water typically covers an area about 200 kilometers long and 20 kilometers wide (124 miles long and 12 miles wide), and has temperature gradients as large as 8 degrees Celsius (14 degrees Fahrenheit) over less than 10 kilometers.",,,"MODIS-Aqua
VIIRS",,
Chia-Hsiang,"In the Norwegian Sea during Septermber 1, 2019, is the water color at (50.282684, -58.944881) more milky than (50.415337, -54.128047)?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/145634/late-bloomers,,"The Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite acquired these natural-color images of Newfoundland and surrounding waters on September 1 and 19, 2019. The brightest bloom appears southeast of the island, but fainter milky streaks are visible on nearly all sides. (The bloom was still visible through cloudy skies on September 22.)",,,MODIS-Aqua,,
Chia-Hsiang,"In the Norwegian Sea during Septermber 19, 2019, is the water color at (46.694935, -50.925784) more milky than (46.809436, -58.528990)?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/145634/late-bloomers,,"The Moderate Resolution Imaging Spectroradiometer (MODIS) on NASA’s Aqua satellite acquired these natural-color images of Newfoundland and surrounding waters on September 1 and 19, 2019. The brightest bloom appears southeast of the island, but fainter milky streaks are visible on nearly all sides. (The bloom was still visible through cloudy skies on September 22.)",,,MODIS-Aqua,,
Aarush,"In the summer of 2021, did at least 6 million hectares of forests burn in Sakha?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/148943/a-record-breaking-year-for-fire-in-sakha,,"In summer 2021, huge fires raged through these larch forests for months. During Sakha’s most severe fire season in decades, more than 8.4 million hectares of forests burned",,,VIIRS,,
Chia-Hsiang,Is the forest loss from 2015 to 2022 larger than that from 2000 to 2015 at Macaya National Park?,,,,verified,,double reviewed,,https://landsat.gsfc.nasa.gov/article/hispaniolas-changing-forests/,,,,,Landsat 8,,
Chia-Hsiang,"Is the size of ozone hole (<220 Dobson units) over Antarctica between September 26 and 30, 2024 larger than that between August 26 and 30, 2024?",,,,double reviewed,,verified,,https://science.nasa.gov/earth/nasa-noaa-2024-ozone-hole-update/,https://youtu.be/TpSkhWX8_4c,"1. This year, the ozone hole over Antarctica reached its annual maximum extent on September 28th, 2024, with an area of 8.5 million square miles (22.4 square million kilometers.) The hole, which is actually a region of depleted ozone, was the 20th smallest since scientists began recording the ozone hole in 1979. The average size of the ozone hole between September and October this year was the 7th-smallest since the Montreal Protocol began to take effect.",,climate,News (GEOS?),,
Aarush,"On August 3, 2025, were there more than 120 fires active in Saskatchewan, Canada?",no,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/154641/widespread-smoke-from-canadian-fires,,"On August 3, 2025, 159 and 81 fires were burning in Manitoba and Saskatchewan, respectively, many of which were classified as out of control.",,,News (GEOS?),,
Aarush,"On August 3, 2025, were there more than 30 fires active in Manitoba, Canada?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/154641/widespread-smoke-from-canadian-fires,,"On August 3, 2025, 159 and 81 fires were burning in Manitoba and Saskatchewan, respectively, many of which were classified as out of control.",,,News (GEOS?),,
Cheryl,"On August 6, 2024 at 1:40 pm local time, did land surface temperatures in Paris exceed 32 degrees Celcius?",,double reviewed,,,,verified,,https://www.earthobservatory.nasa.gov/images/153178/running-through-paris-heat,,"It shows land surface temperatures (LSTs) observed by the VIIRS (Visible Infrared Imaging Radiometer Suite) on the NOAA-NASA Suomi NPP satellite at 1:40 p.m. local time on August 6, 2024, a clear day when air temperatures peaked at 28°C (82°F).",,,Landsat 9,https://code.earthengine.google.com/5fcd0fe0c4cfc2ac35bc3e8e770f3298,
Cheryl,"On August 6, 2024 at 1:40 pm local time, were land surface temperatures along the Paris Olympic marathon starting line (Hôtel de Ville) lower than in the Fausses-Reposes forest near Versailles?",No,verified,,,,verified,,https://www.earthobservatory.nasa.gov/images/153178/running-through-paris-heat,,"According to Middel, the heat stress on runners should ease some as the course continues through tree-lined boulevards along the Seine River for several kilometers and then drop even more as runners pass through the Fausses-Reposes forest, a former royal forest near Versailles. Likewise, Bois de Meudon (also called Forét domaniale de Meudon), another forest near Versailles, should help cool runners as they loop back toward the area where the race started, she said.",,,Landsat 9,,
Chia-Hsiang,"On February 14, 2023, were nighttime lights in central Antakya, the capital of Türkiye’s Hatay Province, brighter than those around Hatay Airport?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/151336/brighter-nights-in-antakya,,,,,VIIRS,,
Cheryl,"On February 26, 2025, were there at least three distinct tropical cyclones visible visible between 0 and 40 degrees South?",,verified,,,,verified,,https://www.earthobservatory.nasa.gov/images/153995/cyclone-flurry-in-the-southern-hemisphere,,"Five tropical cyclones are visible in this false-color image, acquired on February 26 by the VIIRS (Visible Infrared Imaging Radiometer Suite) sensor on the NOAA-20 satellite",,,VIIRS,,
Chia-Hsiang,"On January 23, 2025 at 1:44 pm, did the smoke plume from the Baja California fire (El Escondido area of Ensenada) extend less than 50 km westward over the Pacific Ocean?",No,,,verified,,double reviewed,,https://www.earthobservatory.nasa.gov/images/153870/fire-in-baja-california,,,,,MODIS-Aqua,,
Cheryl,"On January 23, 2025 at 1:44 pm, did the smoke plume from the Baja California fire (El Escondido area of Ensenada) extend more than 100 km westward over the Pacific Ocean?",,verified,,,,verified,,https://www.earthobservatory.nasa.gov/images/153870/fire-in-baja-california,,,,,Modis-Aqua,,
Aarush,"On July 19, 2022 did UK experience temperatures above 100 degrees fahrenheit?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/150152/a-july-of-extremes,,"On July 19, the U.K. had its hottest day ever recorded as temperatures topped 104°F (40°C).",,,GEOS?,,
Cheryl,"On July 20, 2025 at 10:44 am local time, did the volcanic plume from Halemaʻumaʻu Crater extend more than 5 km (horizontal distance) from the summit of Hawaii’s Kīlauea volcano?",No,verified,,,,double reviewed,,https://www.earthobservatory.nasa.gov/images/154591/more-lava-fills-kilauea-crater,,"The OLI (Operational Land Imager) on Landsat 8 acquired this image at approximately 10:44 a.m. local time (20:42 Universal Time) on July 20, while the eruption was underway. The natural-color image is overlaid with an infrared signature to reveal the heat emanating from lava in the summit crater. Note that both clouds and a volcanic plume are visible.",,,Landsat 8,,
Cheryl,"On July 20, 2025 at 10:44 am local time, was there a volcanic eruption in Halema‘uma‘u Crater, the summit caldera of Hawaii’s Kīlauea volcano?",,verified,,,,double reviewed,,https://www.earthobservatory.nasa.gov/images/154591/more-lava-fills-kilauea-crater,,"The OLI (Operational Land Imager) on Landsat 8 acquired this image at approximately 10:44 a.m. local time (20:42 Universal Time) on July 20, while the eruption was underway. The natural-color image is overlaid with an infrared signature to reveal the heat emanating from lava in the summit crater. Note that both clouds and a volcanic plume are visible.",,,Landsat 8,,
Chia-Hsiang,"On July 7, did the coastal city of La Serena have a year-to-date rainfall deficit of larger than 40 percent (compared to the mean from 1990-2020)?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/150100/snow-blanket-for-the-andes,,,,,CHIRPS,,
Chia-Hsiang,"On July 7, was the year-to-date rainfall in the coastal city of La Serena lower than the 1990-2020 average for the same period?",,,,double reviewed,,verified,Supporting sentence might be wrong,https://earthobservatory.nasa.gov/images/150100/snow-blanket-for-the-andes,,"“Until 10 days ago, north-central Chile was experiencing one of its driest winters,” said René Garreaud, a scientist at the University of Chile. The change from dry to wet was swift and visibly striking. The Visible Infrared Imaging Radiometer Suite (VIIRS) on the NOAA-20 satellite acquired a view of the same area on July 7 (left), just prior to the storms. Notice the relatively sparse snow cover compared with the July 16 image (right) acquired after the storms.",,,CHIRPS,,
Aarush,"On June 24, 2025, was New York City highest temperature higher than June 24, 2024?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/154475/sizzling-start-to-summer,,"On that day, both Boston and New York City (John F. Kennedy International Airport) reached highs of 102°F (39°C), setting new June records for those places.",,,GEOS?,,
Aarush,"On June 24, 2025, was the peak observed temperature in St. Francis, Kansas higher than Death Valley, California?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/154475/sizzling-start-to-summer,,"Also on that day, Minneapolis, Minnesota, set a daily record high of 96°F (36°C), and St. Francis, Kansas, was the hottest place in the country at 104°F (40°C)—more scorching than Death Valley, California.",,,GEOS?,,
Cheryl,"On June 24, 2025, was the temperature over John F. Kennedy International Airport higher than on any other day in June 2020 to 2024?",,verified,,,,verified,,https://earthobservatory.nasa.gov/images/154475/sizzling-start-to-summer,,"New York City (John F. Kennedy International Airport) reached highs of 102°F (39°C), setting new June records for those places.",,,GEOS?,,
Aarush,"Since 2001, has the forest in Tshopo province around Kisangani lost less than 15,000 square kilometers of tree cover?",No,double reviewed,,verified,,,,https://earthobservatory.nasa.gov/images/154817/reshaping-the-forests-around-kisangani,,"The forest in Tshopo province around Kisangani—a fast-growing city now home to about 1.5 million people—is one of several areas contributing to the losses. A similar Global Forest Watch analysis indicates that the province saw more tree cover loss in recent decades than any other part of the DRC, with losses totaling more than 19,000 square kilometers (7,300 square miles) since 2001.",,,"Landsat 5
Landsat 7
Landsat 8
Landsat 9",,
Chia-Hsiang,"The Landsat 8 satellite captures pictures of active fire in Monte Pisano, Italy on February 25, 2019, around 10:58 a.m. local time. Was the smoke plume moving in an eastern direction?",no,,"Yes, it should be no",double reviewed,,verified,,https://earthobservatory.nasa.gov/images/144589/fire-burns-in-northern-italy,,"On the morning of February 25, 2019, a fire on the slopes of Monte Pisano sent smoke billowing across the western Italian coast. Reports estimate at least 180 hectares (less than 1 square mile) of forest and vegetation have been burned.",,,Landsat 8,,
Chia-Hsiang,"There was a volcanic plume visible over Mount Etna at 1:37 am local time on February 23, 2021. Did the plume go to the western side?",,,,double reviewed,,verified,,https://earthobservatory.nasa.gov/images/147996/a-glowing-plume-over-mount-etna,,"At 1:37 a.m. local time (00:37 Universal Time) on February 23, 2021, the Visible Infrared Imaging Radiometer Suite (VIIRS) on the NOAA-20 satellite captured an image (above) showing one of several volcanic plumes Etna has produced recently.",,,VIIRS,,
Chia-Hsiang,"Through the months of December 2018 and January 2019, did northern part of Madagascar (between latitude of -12 to -15) recieve less rain than the long-term average for the same two-month period from 2000 to 2019?",no,,,verified,,double reviewed,,https://earthobservatory.nasa.gov/images/144704/drought-harms-corn-crops-in-southern-africa,,The map above shows rainfall anomalies from December 2018 through January 2019. It shows several months of dryness culminating in a deficit of as much as 100 millimeters less rain than average for the same two-month period from 2000 to 2019.,,,CHIRPS,,
Aarush,"Through the months of December 2018 and January 2019, did sourthern African countries (Namibia, Botswana, Lesotho) recieve less rain than the long-term average for the same two-month period from 2000 to 2019?",,verified,,double reviewed,,,,https://earthobservatory.nasa.gov/images/144704/drought-harms-corn-crops-in-southern-africa,,The map above shows rainfall anomalies from December 2018 through January 2019. It shows several months of dryness culminating in a deficit of as much as 100 millimeters less rain than average for the same two-month period from 2000 to 2019.,,,"MODIS-Terra
MODIS-Aqua",,
Cheryl,"Was a phytoplankton bloom visible between 56° to 68° South latitude on January 13, 2016?",,double reviewed,,,,verified,,https://earthobservatory.nasa.gov/images/87465/oxygen-factories-in-the-southern-ocean,,The parcel of blooming ocean—at least that part visible through the break in the clouds—stretched from 56° to 68° South latitude,,,VIIRS,,
